model,term,beta,SE,OR,lower95_model_based,upper95_model_based,p_model_based,N,AIC,deviance
Model 3: + road distance,"C(livelihood, Treatment(reference='Other'))[T.Mixed crop-livestock]",0.7209833442180424,0.1725400296114137,2.056454419271968,1.4663918888307228,2.883952653281072,2.932524113212238e-05,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(ea_type_n, Treatment(reference='Urban'))[T.Rural]",-0.10251525854640155,0.12256324350552728,0.9025643778274166,0.7098232981140431,1.147641192233889,0.40291448770136806,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(ea_type_n, Treatment(reference='Urban'))[T.Nomadic]",-0.3103220309459762,0.16898935522275405,0.733210801633737,0.5264804041534217,1.0211169786971321,0.06630728383678855,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(school_cat, Treatment(reference='Never attended'))[T.Ever attended]",-0.04100111116653428,0.104702876982646,0.9598280634183837,0.7817511981044529,1.1784694587732376,0.6953575671835706,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(school_cat, Treatment(reference='Never attended'))[T.Unknown]",-0.786894007763974,0.29888804690581805,0.4552566251241117,0.2534181013621708,0.8178523696821237,0.008469958273586233,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Bakool],0.9954403881418377,0.24959945095564004,2.7059157321242364,1.659017341717966,4.413443889486589,6.659017629506207e-05,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Banadir],-2.358132910875739,0.47880623687865925,0.09459667884609407,0.037009037657253975,0.2417931460846051,8.434936757049807e-07,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Bari],0.00875314927323497,0.2699032787269119,1.008791570103605,0.594367611162847,1.7121734307175673,0.9741285891279836,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Bay],1.0423039884238883,0.2391374416586472,2.83574301262667,1.774634706819509,4.531320391041379,1.3089827074871399e-05,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Galgaduud],0.6223704082317123,0.25125240689998724,1.8633396868129757,1.1387323735569297,3.049034934878575,0.013246501997240047,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Gedo],-0.9017328084418144,0.31961776898712363,0.4058657624377376,0.21692933239257245,0.7593579683408744,0.004783169189730041,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Hiraan],-0.9704593152049429,0.30664176524672593,0.37890895948160136,0.20773809006673624,0.6911202443870889,0.0015519053009862495,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Lower Juba],0.5587964324653071,0.25478320922957315,1.748566715192357,1.0612222844724186,2.881098147122497,0.02829130547349277,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Lower Shabelle],0.06049273063310231,0.24762591653645502,1.0623598748585477,0.6538651994765187,1.7260568456816905,0.8070056163948836,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Waqooyi Galbeed],-0.27091501290108827,0.25559508239194906,0.762681311722871,0.46214278630243555,1.2586646389210414,0.28917267750621056,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Middle Shabelle],-1.1610863517617087,0.32748176007736196,0.3131458095327143,0.16481187591480087,0.594983204235786,0.0003918700255667149,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Mudug],-1.9925315603869955,0.6165044339377231,0.13634981037867008,0.04072633879892135,0.4564925632547083,0.0012293457153116538,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Nugaal],0.19411216839222253,0.3114843170486096,1.214232473822308,0.6594183680547897,2.2358499124521516,0.5331633494482513,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Sanaag],0.9425863591973572,0.2463185088032028,2.5666110193848737,1.5837604991726295,4.159399182053868,0.00012987408767021634,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Sool],1.0109567210648416,0.276700422343618,2.748229046289616,1.5977939446778953,4.726994313645694,0.00025857423385255697,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,C(region_n)[T.Togdheer],0.28556348220923794,0.2547993976273375,1.3305115365143314,0.8074748764374128,2.1923418306314817,0.2623992099661304,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(rain_family, Treatment(reference='Private piped'))[T.Delivered/vendor]",0.2541711669640543,0.17534383148933885,1.289392486777924,0.9143857571847122,1.8181965017457242,0.14718163507294654,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(rain_family, Treatment(reference='Private piped'))[T.Groundwater]",0.6403647286364973,0.1393084377170819,1.897172706347101,1.443860155719164,2.492806705311185,4.291516922358731e-06,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(rain_family, Treatment(reference='Private piped'))[T.Other/social]",0.6705731170914607,0.7046221513198713,1.9553576484540112,0.4914051692601381,7.780592823482431,0.3412605135319867,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(rain_family, Treatment(reference='Private piped'))[T.Public network]",1.5307743197405692,0.20783919718985527,4.621754152598722,3.0753216371892065,6.945813793508371,1.769002064885267e-13,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,"C(rain_family, Treatment(reference='Private piped'))[T.Rain/surface]",2.62403288702314,0.15086087453947336,13.79123005691203,10.260951486575614,18.536100353998314,9.204891909537437e-68,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,hhsize,0.007813483369295935,0.016936852546336093,1.0078440882888922,0.9749366859095172,1.0418622265211783,0.6445616450088311,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,female_head,-0.05504384852507734,0.09507484112999456,0.9464436468856254,0.7855347859673777,1.14031306153686,0.5626210002479735,6725,3669.4975054002953,3605.4975054002953
Model 3: + road distance,road_cap99,0.07580510334940216,0.014862460525447766,1.0787523084561663,1.047781090238554,1.1106390006853055,3.3886296284556483e-07,6725,3669.4975054002953,3605.4975054002953
